ariba	pubmlst_species	schema
Leptospira spp.	Leptospira	scheme_1
Leptospira spp.	Leptospira noguchii	scheme_1
Leptospira spp.	Leptospira weilii	scheme_1
Leptospira spp.	Leptospira alexanderi	scheme_1
Leptospira spp.	Leptospira alstonii	scheme_1
Leptospira spp.	Leptospira licerasiae	scheme_1
Leptospira spp.	Leptospira inadai	scheme_1
Leptospira spp.	Leptospira mayottensis	scheme_1
Leptospira spp.	Leptospira meyeri	scheme_1
Leptospira spp.	Leptospira kmetyi	scheme_1
Leptospira spp.	Leptospira vanthielii	scheme_1
Leptospira spp.	Leptospira biflexa	scheme_1
Leptospira spp.	Leptospira wolbachii	scheme_1
Leptospira spp.	Leptospira wolffii	scheme_1
Leptospira spp.	Leptospira yanagawae	scheme_1
Leptospira spp.	Leptospira fainei	scheme_1
Leptospira spp.	Leptospira broomii	scheme_1
Leptospira spp.	Leptospira terpstrae	scheme_1
Leptospira spp.	Leptospira idonii	scheme_1
Leptospira spp.#2	Leptospira interrogans	scheme_2
Leptospira spp.#2	Leptospira borgpetersenii	scheme_2
Leptospira spp.#2	Leptospira santarosai	scheme_2
Leptospira spp.#2	Leptospira kirschneri	scheme_2
Leptospira spp.#2	Leptospira	scheme_2
Leptospira spp.#2	Leptospira noguchii	scheme_2
Leptospira spp.#2	Leptospira weilii	scheme_2
Leptospira spp.#2	Leptospira alexanderi	scheme_2
Leptospira spp.#2	Leptospira alstonii	scheme_2
Leptospira spp.#2	Leptospira licerasiae	scheme_2
Leptospira spp.#2	Leptospira inadai	scheme_2
Leptospira spp.#2	Leptospira mayottensis	scheme_2
Leptospira spp.#2	Leptospira meyeri	scheme_2
Leptospira spp.#2	Leptospira kmetyi	scheme_2
Leptospira spp.#2	Leptospira vanthielii	scheme_2
Leptospira spp.#2	Leptospira biflexa	scheme_2
Leptospira spp.#2	Leptospira wolbachii	scheme_2
Leptospira spp.#2	Leptospira wolffii	scheme_2
Leptospira spp.#2	Leptospira yanagawae	scheme_2
Leptospira spp.#2	Leptospira fainei	scheme_2
Leptospira spp.#2	Leptospira broomii	scheme_2
Leptospira spp.#2	Leptospira terpstrae	scheme_2
Leptospira spp.#2	Leptospira idonii	scheme_2
Leptospira spp.#3	Leptospira interrogans	scheme_3
Leptospira spp.#3	Leptospira borgpetersenii	scheme_3
Leptospira spp.#3	Leptospira santarosai	scheme_3
Leptospira spp.#3	Leptospira kirschneri	scheme_3
Leptospira spp.#3	Leptospira	scheme_3
Leptospira spp.#3	Leptospira noguchii	scheme_3
Leptospira spp.#3	Leptospira weilii	scheme_3
Leptospira spp.#3	Leptospira alexanderi	scheme_3
Leptospira spp.#3	Leptospira alstonii	scheme_3
Leptospira spp.#3	Leptospira licerasiae	scheme_3
Leptospira spp.#3	Leptospira inadai	scheme_3
Leptospira spp.#3	Leptospira mayottensis	scheme_3
Leptospira spp.#3	Leptospira meyeri	scheme_3
Leptospira spp.#3	Leptospira kmetyi	scheme_3
Leptospira spp.#3	Leptospira vanthielii	scheme_3
Leptospira spp.#3	Leptospira biflexa	scheme_3
Leptospira spp.#3	Leptospira wolbachii	scheme_3
Leptospira spp.#3	Leptospira wolffii	scheme_3
Leptospira spp.#3	Leptospira yanagawae	scheme_3
Leptospira spp.#3	Leptospira fainei	scheme_3
Leptospira spp.#3	Leptospira broomii	scheme_3
Leptospira spp.#3	Leptospira terpstrae	scheme_3
Leptospira spp.#3	Leptospira idonii	scheme_3
Listeria monocytogenes	Listeria monocytogenes	default
Macrococcus canis	Macrococcus canis	default
Macrococcus caseolyticus	Macrococcus caseolyticus	default
Mannheimia haemolytica	Mannheimia haemolytica	default
Melissococcus plutonius	Melissococcus plutonius	default
Moraxella catarrhalis	Moraxella catarrhalis	default
Mycobacteria spp.	Mycobacterium tuberculosis	default
Mycobacteria spp.	Mycobacterium bovis	default
Mycobacteria spp.	Mycobacterium abscessus	default
Mycobacteria spp.	Mycobacterium ulcerans	default
Mycobacteria spp.	Mycobacterium avium	default
Mycobacteria spp.	Mycobacterium caprae	default
Mycobacteria spp.	Mycobacterium smegmatis	default
Mycobacteria spp.	Mycobacterium africanum	default
Mycobacteria spp.	Mycobacterium canettii	default
Mycobacteria spp.	Mycobacterium sp.	default
Mycobacteria spp.	Mycobacterium orygis	default
Mycobacteria spp.	Mycobacterium microti	default
Mycobacteria spp.	Mycobacterium leprae	default
Mycobacteria spp.	Mycobacterium intracellulare	default
Mycobacteria spp.	Mycobacterium kansasii	default
Mycobacteria spp.	Mycobacterium marinum	default
Mycobacteria spp.	Mycobacterium pinnipedii	default
Mycobacteria spp.	Mycobacterium xenopi	default
Mycobacteria spp.	Mycobacterium rhodesiae	default
Mycobacteria spp.	Mycobacterium gilvum	default
Mycobacteria spp.	Mycobacterium yongonense	default
Mycobacteria spp.	Mycobacterium phlei	default
Mycobacteria spp.	Mycobacterium vaccae	default
Mycobacteria spp.	Mycobacterium chubuense	default
Mycobacteria spp.	Mycobacterium tusciae	default
Mycobacteria spp.	Mycobacterium vanbaalenii	default
Mycobacteria spp.	Mycobacterium thermoresistibile	default
Mycobacteria spp.	Mycobacterium fortuitum	default
Mycobacteria spp.	Mycobacterium parascrofulaceum	default
Mycobacteria spp.	Mycobacterium colombiense	default
Mycobacteria spp.	Mycobacterium hassiacum	default
Mycobacteria spp.	Mycobacterium simiae	default
Mycobacteria spp.	Mycobacterium mageritense	default
Mycobacteria spp.	Mycobacterium septicum	default
Mycobacteria spp.	Mycobacterium indicus	default
Mycobacteria spp.	Mycobacterium	default
Mycobacteria spp.	Mycobacterium liflandii	default
Mycobacterium abscessus	Mycobacterium abscessus	abscessus
Mycobacterium massiliense	Mycobacterium massiliense	massiliense
Mycoplasma agalactiae	Mycoplasma agalactiae	default
Mycoplasma bovis	Mycoplasma bovis	default
Mycoplasma flocculare	Mycoplasma flocculare	default
Mycoplasma gallisepticum#1	Mycoplasma gallisepticum	ghanem
Mycoplasma gallisepticum#2	Mycoplasma gallisepticum	beko
Mycoplasma hominis	Mycoplasma hominis	default
Mycoplasma hyopneumoniae	Mycoplasma hyopneumoniae	default
Mycoplasma hyorhinis	Mycoplasma hyorhinis	default
Mycoplasma iowae	Mycoplasma iowae	default
Mycoplasma pneumoniae	Mycoplasma pneumoniae	default
Mycoplasma synoviae	Mycoplasma synoviae	default
Neisseria spp.	Neisseria meningitidis	default
Neisseria spp.	Neisseria gonorrhoeae	default
Neisseria spp.	Neisseria lactamica	default
Neisseria spp.	Neisseria	default
Neisseria spp.	Neisseria subflava	default
Neisseria spp.	Neisseria polysaccharea	default
Neisseria spp.	Neisseria cinerea	default
Neisseria spp.	Neisseria mucosa	default
Neisseria spp.	Neisseria oralis	default
Neisseria spp.	Neisseria musculi	default
Neisseria spp.	Neisseria bergeri	default
Neisseria spp.	Neisseria bacilliformis	default
Neisseria spp.	Neisseria flavescens	default
Neisseria spp.	Neisseria perflava	default
Neisseria spp.	Neisseria zoodegmatis	default
Neisseria spp.	Neisseria elongata	default
Neisseria spp.	Neisseria sicca	default
Neisseria spp.	Neisseria canis	default
Neisseria spp.	Neisseria iguanae	default
Neisseria spp.	Neisseria macacae	default
Neisseria spp.	Neisseria elongata	default
Neisseria spp.	Neisseria animaloris	default
Neisseria spp.	Neisseria wadsworthii	default
Neisseria spp.	Neisseria weaveri	default
Neisseria spp.	Neisseria shayeganii	default
Neisseria spp.	Neisseria animalis	default
Neisseria spp.	Neisseria dentiae	default
Orientia tsutsugamushi	Orientia tsutsugamushi	default
Ornithobacterium rhinotracheale	Ornithobacterium rhinotracheale	default
Paenibacillus larvae	Paenibacillus larvae	default
Pasteurella multocida#1	Pasteurella multocida	rirdc
Pasteurella multocida#2	Pasteurella multocida	multihost
Pediococcus pentosaceus	Pediococcus pentosaceus	default
Photobacterium damselae	Photobacterium damselae	default
Piscirickettsia salmonis	Piscirickettsia salmonis	default
Porphyromonas gingivalis	Porphyromonas gingivalis	default
Propionibacterium acnes	Propionibacterium acnes	default
Pseudomonas aeruginosa	Pseudomonas aeruginosa	default
Pseudomonas fluorescens	Pseudomonas fluorescens	default
Pseudomonas putida	Pseudomonas putida	default
Rhodococcus spp.	Rhodococcus	default
Rhodococcus spp.	Rhodococcus equi	default
Riemerella anatipestifer	Riemerella anatipestifer	default
Salmonella enterica	Salmonella enterica	default
Saprolegnia parasitica	Saprolegnia parasitica	default
Sinorhizobium spp.	Sinorhizobium meliloti	default
Sinorhizobium spp.	Sinorhizobium medicae	default
Sinorhizobium spp.	Sinorhizobium	default
Staphylococcus aureus	Staphylococcus aureus	default
Staphylococcus epidermidis	Staphylococcus epidermidis	default
Staphylococcus haemolyticus	Staphylococcus haemolyticus	default
Staphylococcus hominis	Staphylococcus hominis	default
Staphylococcus lugdunensis	Staphylococcus lugdunensis	default
Staphylococcus pseudintermedius	Staphylococcus pseudintermedius	default
Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	default
Streptococcus agalactiae	Streptococcus agalactiae	default
Streptococcus bovis/equinus complex (SBSEC)	Streptococcus infantarius	sbsec
Streptococcus bovis/equinus complex (SBSEC)	Streptococcus equinus	sbsec
Streptococcus bovis/equinus complex (SBSEC)	Streptococcus gallolyticus	sbsec
