ariba	pubmlst_species	schema
Streptomyces spp	Streptomyces nigrescens	default
Streptomyces spp	Streptomyces nitrosporeus	default
Streptomyces spp	Streptomyces nodosus	default
Streptomyces spp	Streptomyces nojiriensis	default
Streptomyces spp	Streptomyces noursei	default
Streptomyces spp	Streptomyces novaecaesareae	default
Streptomyces spp	Streptomyces ochraceiscleroticus	default
Streptomyces spp	Streptomyces olivaceiscleroticus	default
Streptomyces spp	Streptomyces olivaceus	default
Streptomyces spp	Streptomyces olivoviridis	default
Streptomyces spp	Streptomyces ornatus	default
Streptomyces spp	Streptomyces parvus	default
Streptomyces spp	Streptomyces peucetius	default
Streptomyces spp	Streptomyces phaeofaciens	default
Streptomyces spp	Streptomyces platensis	default
Streptomyces spp	Streptomyces pluricolorescens	default
Streptomyces spp	Streptomyces pluripotens	default
Streptomyces spp	Streptomyces praecox	default
Streptomyces spp	Streptomyces pratensis	default
Streptomyces spp	Streptomyces prunicolor	default
Streptomyces spp	Streptomyces pulveraceus	default
Streptomyces spp	Streptomyces puniceus	default
Streptomyces spp	Streptomyces purpeofuscus	default
Streptomyces spp	Streptomyces purpureus	default
Streptomyces spp	Streptomyces purpurogeneiscleroticus	default
Streptomyces spp	Streptomyces ramulosus	default
Streptomyces spp	Streptomyces rapamycinicus	default
Streptomyces spp	Streptomyces rectiverticillatus	default
Streptomyces spp	Streptomyces resistomycificus	default
Streptomyces spp	Streptomyces rhizosphaericus	default
Streptomyces spp	Streptomyces rimosus	default
Streptomyces spp	Streptomyces roseodiastaticus	default
Streptomyces spp	Streptomyces rubiginosohelvolus	default
Streptomyces spp	Streptomyces rubrisoli	default
Streptomyces spp	Streptomyces rutgersensis	default
Streptomyces spp	Streptomyces sanglieri	default
Streptomyces spp	Streptomyces scabiei	default
Streptomyces spp	Streptomyces scabrisporus	default
Streptomyces spp	Streptomyces sclerotialus	default
Streptomyces spp	Streptomyces scopuliridis	default
Streptomyces spp	Streptomyces seoulensis	default
Streptomyces spp	Streptomyces setonii	default
Streptomyces spp	Streptomyces sindenensis	default
Streptomyces spp	Streptomyces sioyaensis	default
Streptomyces spp	Streptomyces somaliensis	default
Streptomyces spp	Streptomyces speibonae	default
Streptomyces spp	Streptomyces spiroverticillatus	default
Streptomyces spp	Streptomyces sporocinereus	default
Streptomyces spp	Streptomyces sporoclivatus	default
Streptomyces spp	Streptomyces spororaveus	default
Streptomyces spp	Streptomyces subrutilus	default
Streptomyces spp	Streptomyces sulphureus	default
Streptomyces spp	Streptomyces tanashiensis	default
Streptomyces spp	Streptomyces torulosus	default
Streptomyces spp	Streptomyces tubercidicus	default
Streptomyces spp	Streptomyces variegatus	default
Streptomyces spp	Streptomyces varsoviensis	default
Streptomyces spp	Streptomyces venezuelae	default
Streptomyces spp	Streptomyces vietnamensis	default
Streptomyces spp	Streptomyces vinaceus	default
Streptomyces spp	Streptomyces violaceorubidus	default
Streptomyces spp	Streptomyces violaceusniger	default
Streptomyces spp	Streptomyces violens	default
Streptomyces spp	Streptomyces virginiae	default
Streptomyces spp	Streptomyces viridis	default
Streptomyces spp	Streptomyces vitaminophilus	default
Streptomyces spp	Streptomyces wedmorensis	default
Streptomyces spp	Streptomyces xanthophaeus	default
Streptomyces spp	Streptomyces xinghaiensis	default
Streptomyces spp	Streptomyces yanii	default
Streptomyces spp	Streptomyces yeochonensis	default
Streptomyces spp	Streptomyces yerevanensis	default
Streptomyces spp	Streptomyces yogyakartensis	default
Streptomyces spp	Streptomyces zinciresistens	default
Streptomyces spp	Streptomyces	default
Taylorella spp.	Taylorella	default
Taylorella spp.	Taylorella equigenitalis	default
Taylorella spp.	Taylorella asinigenitalis	default
Tenacibaculum spp.	Tenacibaculum maritimum	default
Tenacibaculum spp.	Tenacibaculum	default
Tenacibaculum spp.	Tenacibaculum discolor	default
Tenacibaculum spp.	Tenacibaculum mesophilum	default
Tenacibaculum spp.	Tenacibaculum crassostreae	default
Tenacibaculum spp.	Tenacibaculum dicentrarchi	default
Tenacibaculum spp.	Tenacibaculum gallaicum	default
Tenacibaculum spp.	Tenacibaculum geojense	default
Tenacibaculum spp.	Tenacibaculum adriaticum	default
Tenacibaculum spp.	Tenacibaculum litopenaei	default
Tenacibaculum spp.	Tenacibaculum litoreum	default
Tenacibaculum spp.	Tenacibaculum lutimaris	default
Tenacibaculum spp.	Tenacibaculum ovolyticum	default
Tenacibaculum spp.	Tenacibaculum skagerrakense	default
Tenacibaculum spp.	Tenacibaculum soleae	default
Tenacibaculum spp.	Tenacibaculum jejuense	default
Tenacibaculum spp.	Tenacibaculum aestuarii	default
Tenacibaculum spp.	Tenacibaculum aiptasiae	default
Tenacibaculum spp.	Tenacibaculum amylolyticum	default
Treponema pallidum	Treponema pallidum	default
Trichomonas vaginalis	Trichomonas vaginalis	default
Ureaplasma spp.	Ureaplasma	default
Ureaplasma spp.	Ureaplasma parvum	default
Ureaplasma spp.	Ureaplasma urealyticum	default
Vibrio cholerae	Vibrio cholerae	non_o1_o129
Vibrio cholerae#2	Vibrio cholerae	o1_o129
Vibrio parahaemolyticus	Vibrio parahaemolyticus	parahaemolyticus
Vibrio spp.	Vibrio	default
Vibrio spp.	Vibrio alginolyticus	default
Vibrio spp.	Vibrio anguillarum	default
Vibrio spp.	Vibrio brasiliensis	default
Vibrio spp.	Vibrio chagasii	default
Vibrio spp.	Vibrio cholerae	default
Vibrio spp.	Vibrio diabolicus	default
Vibrio spp.	Vibrio fischeri	default
Vibrio spp.	Vibrio fluvialis	default
Vibrio spp.	Vibrio furnissii	default
Vibrio spp.	Vibrio harveyi	default
Vibrio spp.	Vibrio mediterranei	default
Vibrio spp.	Vibrio mimicus	default
Vibrio spp.	Vibrio orientalis	default
Vibrio spp.	Vibrio parahaemolyticus	default
Vibrio spp.	Vibrio shilonii	default
Vibrio spp.	Vibrio splendidus	default
Vibrio spp.	Vibrio vulnificus	default
Vibrio tapetis	Vibrio tapetis	tapetis
Vibrio vulnificus	Vibrio vulnificus	vulnificus
Wolbachia	Wolbachia	default
Xylella fastidiosa	Xylella fastidiosa	default
Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	pseudotuberculosis
Yersinia ruckeri	Yersinia ruckeri	ruckeri
Yersinia spp.	Yersinia enterocolitica	default
Yersinia spp.	Yersinia pseudotuberculosis	default
Yersinia spp.	Yersinia frederiksenii	default
Yersinia spp.	Yersinia intermedia	default
Yersinia spp.	Yersinia mollaretii	default
Yersinia spp.	Yersinia kristensenii	default
Yersinia spp.	Yersinia ruckeri	default
Yersinia spp.	Yersinia rohdei	default
Yersinia spp.	Yersinia bercovieri	default
Yersinia spp.	Yersinia similis	default
Yersinia spp.	Yersinia pestis	default
Yersinia spp.	Yersinia massiliensis	default
Yersinia spp.	Yersinia aleksiciae	default
Yersinia spp.	Yersinia aldovae	default
Yersinia spp.	Yersinia pekkanenii	default
Yersinia spp.	Yersinia	default
